English Word,Persian Translation,Encyclopedia Translation,User Suggestion
angle of depression,زاویه فرود,,
angle of elevation,زاویۀ فراز,,
angle of inclination,زاویۀ میل,,
angle of parallelism,زاویه توازی,,
angle of rotation,زاویه دوران,,
angular acceleration,شتاب زاویه‌ای,,
angular distance,فاصلۀ زاویه‌ای,,
angular distribution,توزیع زاویه‌ای,,
angular frequency,بسامد زاویه‌ای,,
angular momentum,تکانۀ زاویه‌ای,,
angular speed,مقدار سرعت زاویه‌ای,,
angular velocity,سرعت زاویه‌ای,,
anharmonic ratio = cross ratio = double ratio,نسبت ناهمساز,,
anisotropic quadratic form,صورت درجۀ دوم همسان‌گرد,,
annihilating polynomia1,چندجمله‌ای پوچ‌ساز,,
annihilation operator,عملگر پوچ‌سازی,,
annihilator = annulator,پوچ‌ساز,,
annual region,ناحیۀ طوقی,,
annuity,مستمری، قسط‌ السنین,,
annular domain,دامنۀ طوقی، حوزۀ طوقی,,
annular solid,جسم طوقی,,
annulator → annihilator,,,
annulus,طوق,,
anomalus threshold,آستانۀ بی‌هنجار,,
anomaly,بی‌هنجاری,,
ANOVA → analysis of variance,,,
antecedent 1,مقدم [منطق],,
antecedent 2,صورت کسر,,
antiautomorphism,پادخودریختی,,
antichain,پادزنجیر,,
anticommutative operation,عمل پادجابه‌جایی,,
antiderivative,پادمشتق,,
antidifferentiation,پادمشتق‌گیری,,
antiendomorphism,پاددرون‌ریختی,,
antiequivalence,پاد‌هم‌ارزی,,
anti-involution,پادبرگردان,,
anti-isomorphism,پادیکریختی,,
antilog → antilogarithm,,,
antilogarithm = inverse logarithm = antilog,پادلگاریتم,,
antimode,پادمد,,
antinomy,تعارض,,
antiparallel,پادموازی,,
antipodal map,نگاشت تقاطری,,
antipodal points = antipodes,نقطه‌‌های متقاطر,,
antipodal symmetry,تقارن تقاطری,,
antipodes → antipodal points,,,
antiprism,پادمنشور,,
antireflexive relation → irreflexive relation,,,
antisymmetric determinant → skew-symmetric deferminant,,,
antisymmetric law,قانون پادمتقارن,,
antisymmetric matrix → skew-symmetric matrix,,,
antisymmetric multilinear mapping → skew-symmetric multilinear mapping,,,
antisymmetric relation,رابطۀ پادمتقارن,,
antisymmetric tensor → skew-symmetric tensor,,,
antisymmetry,پادتقارن,,
antithetic variate,متغیر متضاد,,
aperiodic chain,زنجیر نا‌دوره‌ای,,
aperiodic endomorphism,درون‌ریختی نادوره‌ای,,
aperiodic Markov chain,زنجیر مارکوف نادوره‌ای,,
apex 1,رأس مقابل به قاعده در مثلث,,
apex 2,رأس مخروط یا هرم,,
apogee,اوج,,
a posteriori density → posterior density,,,
a posteriori model → posterior model,,,
a posteriori probability  → posterior probability,,,
apothem = short radius,سهم,,
applied mathematics,ریاضیات کاربردی، ریاضی کاربردی,,
approximate derivative,مشتق تقریبی,,
approximate eigenvalue,ویژه‏مقدار تقریبی,,
approximate integration,انتگرال‌گیری تقریبی,,
approximate measure,اندازۀ تقریبی,,
approximate normality,نرمال بودن تقریبی,,
approximate solution,جواب تقریبی,,
approximate value,مقدار تقریبی,,
approximating integral,انتگرال تقریب‌زن,,
approximation,تقریب,,
approximation formulas,فرمول‌های تقریب,,
approximation from above,تقریب اضافی,,
approximation from below,تقریب نقصانی,,
approximation theorem,قضیۀ تقریب,,
approximation theory,نظریۀ تقریب,,
Arabic numerals,رقم‌های عربی,,
arbitrary constant,ثابت دلخواه,,
arc,کمان، قوس,,
arc cosecant,آرک کسکانت,,
arc cosine,آرک کسینوس,,
arc cotangent,آرک کتانژانت,,
arc length,طول قوس، طول کمان,,
arc secant,آرک سکانت,,
arc sine,آرک سینوس,,
arc tangent,آرک تانژانت,,
Archimedean axiom → Archimedes' axiom,,,
Archimedean orderا,ترتیب ارشمیدسی,,
Archimedean ordered field,میدان مرتب ارشمیدسی,,
Archimedean principle,اصل ارشمیدس,,
Archimedean property,ویژگی ارشمیدسی,,
Archimedean spiral → Archimedes' spiral,,,
Archimedean valuation,ارزه ارشمیدسی,,
Archimedes' axiom = Archimedean axiom,اصل موضوع ارشمیدس,,
Archimedes' problem,مسألۀ ارشمیدس,,
Archimedes' spiral = Archimedean spiral,مارپیچ ارشمیدس,,
Archimedes' axiom → Archimedean axiom,,,
Archimedes' order → Archimedean order,,,
arc-length function,تابع طول کمان,,
arcwise connected set → path connected set,,,
arcwise connected space,فضای کمانی‌همبند، فضای مسیری همبند,,
are,آر (صدمتر مربع),,
area 1,مساحت,,
area 2,سطح,,
area element = element of area,جزء مساحت، جزء سطح,,
area sample,نمونۀ ناحیه‌ای,,
area sampling,نمونه‌گیری ناحیه‌ای,,
area-preserving mapping,نگاشت حافظ مساحت، نگاشت مساحت‌نگهدار,,
Argand diagram,نمودار آرگان,,
argument = amplitude 2,شناسه,,
argument of a complex number,شناسۀ عدد مختلط,,
argument of a function,شناسۀ تابع,,
argument principle,اصل شناسه,,
arithmetic 1,حساب,,
arithmetic 2,حسابی,,
arithmetic expression,عبارت حسابی,,
arithmetic function,تابع حسابی,,
arithmetic genus,گونای حسابی,,
arithmetic geometry,هندسۀ حسابی,,
arithmetic mean,میانگین حسابی، واسطۀ عددی,,
arithmetic of decimals,حساب اعداد اعشاری,,
arithmetic operations → fundamental operations of arithmetic,,,
arithmetic progression = arithmetic sequence,تصاعد حسابی، دنبالۀ حسابی,,
arithmetic sequence → arithmetic progression,,,
arithmetic series,سری حسابی,,
arithmetic subgroup,زیرگروه حسابی,,
arithmetic sum,مجموع حسابی,,
arithmetical algebraic geometry,هندسۀ جبری حسابی,,
arithmetical density,چگالی حسابی,,
arithmetical operations → fundamental operations of arithmetic,,,
arithmetization,حسابی‏سازی,,
arithmetization of geometry,حسابی‏سازی هندسه,,
arrangement 1,ترتیب,,
arrangement 2,آرایش,,
array,آرایه,,
arrow,پیکان,,
artificial intelligence,هوش مصنوعی,,
Artin symbol,نماد آرتین,,
Artinian module,مدول آرتینی,,
Artinian ring,حلقۀ آرتینی,,
ascending central series,رشته مرکزی افزایشی,,
ascending chain,زنجیر افزایشی,,
ascending chain condition = ACC,شرط زنجیر افزایشی,,
ascending error,خطای افزایشی,,
ascending powers,توان‌های افزایشی,,
ascending sequence,دنبالۀ افزایشی,,
Ascoli theorem,قضیۀ آسکولی,,
Artzela-Ascoli theorem,قضیۀ آرتسلا- آسکولی,,
assertion 1,تصدیق,,
assertion 2,گزاره,,
assignment problem,مسأله گمارش، مسأله تخصیص,,
associate curve → Bertrand curve,,,
associate matrix,ماتریس وابسته,,
associate of an element,وابستۀ عنصر,,
associate operator → adjoint operator,,,
associated Legendre functions,تابع‌های لژاندر وابسته,,
association,پیوند,,
association coefficient,ضریب پیوند,,
associative algebra,جبر شرکت‌پذیر,,
associative law,قانون شرکت‌پذیری,,
associativity,شرکت‌پذیری,,
astroid,ستاره‌‌وار,,
astronomy,اختر شناسی، نجوم، هیئت,,
asymmetric relation,رابطۀ بی‌تقارن,,
asymptote,مجانب,,
asymptotic behaviour,رفتار مجانبی,,
asymptotic cone,مخروط مجانبی,,
asymptotic convergence,همگرایی مجانبی,,
asymptotic curve,خم مجانبی,,
asymptotic direction,امتداد مجانبی,,
asymptotic distribution,توزیع مجانبی,,
asymptotic efficiency,کارایی مجانبی,,
asymptotic efficient estimator,برآوردگر کارای مجانبی,,
asymptotic equality,برابری مجانبی,,
asymptotic expansion,بسط مجانبی,,
asymptotic formula,فرمول مجانبی,,
asymptotic method,روش مجانبی,,
asymptotic normality,نرمال بودن مجانبی,,
asymptotic point,نقطۀ مجانبی,,
asymptotic property,ویژگی مجانبی,,
asymptotic relative efficiency,کارایی نسبی مجانبی,,
asymptotic representation,نمایش مجانبی,,
asymptotic series,سری مجانبی,,
asymptotic set,مجموعۀ مجانبی,,
asymptotic standard error,خطای معیار مجانبی,,
asymptotic sufficiency,بسندگی مجانبی,,
asymptotic tangent,مماس مجانبی,,
asymptotic value theorem,قضیۀ مقدار مجانبی,,
asymptotically efficient estimator,برآوردگر مجانبی ‌کارا,,
asymptotically equal functions,تابع‌های مجانبی‌برابر,,
asymptotically equivalent functions,تابع‌های مجانبی‌‌هم‌ارز,,
asymptotically parallel lines,خط‌های مجانبی‌موازی,,
asymptotically stable solution,جواب مجانبی‌پایدار,,
asymptotically unbiased estimator,برآوردگر مجانبی‌نااریب,,
at most countable set,مجموعۀ منتها ‌شمارا,,
Atiyah-Singer index theorem,قضیۀ شاخص اتیا-سینگر,,
atlas,اطلس,,
atom,اتم,,
atomic element,عنصر اتمی,,
atomic expression,عبارت اتمی,,
atomic formula,فرمول اتمی,,
atomic integral domain,دامنۀ صحیح اتمی، حوزۀ صحیح اتمی,,
atomic lattice,مشبکۀ اتمی,,
atomic measure,اندازۀ اتمی,,
atomic ring,حلقۀ اتمی,,
attraction,ربایش، جاذبه,,
attractive potential,پتانسیل رباینده، پتانسیل جاذب,,
attractor,رباینده,,
attractor-repeller pair,زوج رباینده‏-رانشگر,,
attribute,صفت کیفی,,
augmentation of an algebra,افزایش یک جبر,,
augmented algebra,جبر افزوده,,
augmented matrix,ماتریس افزوده,,
autocorrelated error,خطای خود‌همبسته,,
autocorrelation,خودهمبستگی,,
autocorrelation function,تابع خودهمبستگی,,
autocovariance,اتوکوواریانس,,
automatic computer,رایانۀ خودکار,,
automatic control,کنترل خودکار,,
automorphic forms,صورت‌های خودریخت,,
automorphic function,تابع خودریخت,,
automorphism,خودریختی,,
automorphism group,گروه خودریختی,,
automorphism of a graph,خودریختی گراف,,
automorphism of an algebraic system,خودریختی دستگاه جبری,,
automorphism of an algebraic variety,خودریختیِ چندگونای جبری,,
autonomous differential equations,معادلات دیفرانسیل خودگردان,,
autoregressive process,فرایند خودبرگشتی، فرایند خودرگرسیو,,
autoregressive series,سری خودبرگشتی، سری خودرگرسیو,,
autumnal equinox,اعتدال پاییزی,,
auxiliary circle of a hyperbola,دایرۀ اصلی هذلولی,,
auxiliary circle of an ellipse,دایرۀ اصلی بیضی,,
auxiliary equation,معادلۀ کمکی,,
auxiliary field,میدان کمکی [فیزیک],,
auxiliary sample,نمونۀ کمکی,,
auxiliary variable,متغیر کمکی,,
average,متوسط، معدل,,
average cost,هزینۀ متوسط,,
average cost function,تابع هزینۀ متوسط,,
average curvature,خمیدگی متوسط,,
average density,چگالی متوسط,,
average deviation → mean deviation,,,
average life → mean life,,,
average speed,(مقدار) سرعت متوسط,,
average value,مقدار متوسط,,
average value of distribution,مقدار متوسط توزیع,,
average velocity,سرعت متوسط,,
axial symmetry = reflection symmetry,تقارن محوری,,
axiom 1 = postulate,اصل موضوع,,
axiom 2,اصل متعارف,,
axiom of choice,اصل موضوع انتخاب,,
axiom of constructability,اصل موضوع ساختارپذیری,,
axiom of continuity,اصل موضوع پیوستگی,,
axiom of extension → axiom of extensionality,,,
axiom of extensionality = axiom of extension = principle of extensionality,اصل موضوع هم‌مصداقی,,
axiom of induction,اصل موضوع استقرا,,
axiom of linear completeness,اصل موضوع کمال خطی,,
axiom of pairing,اصل موضوع جفت کردن,,
axiom of parallels = parallel axiom = parallel postulate,اصل موضوع توازی,,
axiom of power set,اصل موضوع مجموعۀ توانی,,
axiom of reducibility,اصل موضوع تحویل‌پذیری,,
axiom of separation,اصل موضوع جداسازی,,
axiomatic field theory,نظریۀ اصل موضوعی میدان‌ها,,
axiomatic method,روش اصل موضوعی,,
axiomatic set theory,نظریۀ اصل موضوعی مجموعه‌ها,,
axiomatic system = system of axioms,دستگاه اصل موضوعی,,
axiomatizable theory,نظریۀ اصل موضوع‌پذیر,,
axiomatization,اصل موضوعی‌سازی,,
axioms of real numbers,اصل موضوع‌های اعداد حقیقی,,
axis 1,محور,,
axis 2,قطر,,
axonometric axes,محورهای محورسنجشی,,
axonometric projection 1,تصویر محورسنجشی,,
axonometric projection 2,تصویرافکن محورسنجشی,,
axonometric projection 3,تصویرافکنی محورسنجشی,,
axonometry,محورسنجی,,
azimuth,سمت,,
back test,پس‌آزمون,,
back-substitution = inverse calculation,جانشانی پسرو,,
backward difference,تفاضل پسرو,,
backward difference operator,عملگر تفاضل پسرو,,
backward emission,گسیل پسرو,,
backward induction,استقرای پسرو,,
Baire category theorem,قضیۀ رستۀ بِر,,
Baire condition,شرط بِر,,
Baire function,تابع بِر,,
Baire measure,اندازۀ بِر,,
Baire set,مجموعۀ بِر,,
Baire space,فضای بِر,,
Baire zero-dimensional space,فضای صفربعدی بِر,,
balance equation,معادلۀ تعادل,,
balanced block design,طرح بلوکی متعادل,,
balanced differences,تفاضل‌های متعادل,,
balanced functor,تابعگون متعادل,,
balanced hull,غلاف متعادل,,
balanced incomplete block design,طرح بلوکی ناکامل متعادل,,
balanced range of error,دامنۀ خطای متعادل,,
balanced sample,نمونۀ متعادل,,
balanced set,مجموعۀ متعادل,,
ball,گوی,,
ballot problem,مسأله رأی‌گیری,,
ballot theorem,قضیۀ رأی‌گیری,,
Banach algebra,جبر باناخ,,
Banach analytic space,فضای تحلیلی باناخ,,
Banach area of a surface,مساحت باناخ رویه,,
Banach fixed point theorem,قضیۀ نقطۀ ثابت باناخ,,
Banach integral,انتگرال باناخ,,
Banach lattice,مشبّکۀ باناخ,,
Banach space,فضای باناخ,,
Banach star algebra,جبرستاره‌ای باناخ,,
Banach-Dieudonne theorem,قضیۀ باناخ-دیودونه,,
Banach-Mazur convergence theorem,قضیۀ همگرایی باناخ-مازور,,
Banach-Steinhaus theorem,قضیۀ باناخ-اشتاین‏هاوس,,
Banach-Tarski paradox,پارادوکس باناخ-تارسکی,,
band chart,نمودار نواری,,
bar chart = bar graph = bar diagram,نمودار میله‌ای,,
bar diagram → bar chart,,,
bar graph → bar chart,,,
barreled space,فضای چلیکی,,
